[epoch:6, iter:3991] Loss: 1.272 | Acc: 54.417% 
[epoch:6, iter:4011] Loss: 1.267 | Acc: 54.672% 
[epoch:6, iter:4031] Loss: 1.264 | Acc: 54.752% 
[epoch:6, iter:4051] Loss: 1.259 | Acc: 54.953% 
[epoch:6, iter:4071] Loss: 1.252 | Acc: 55.347% 
[epoch:6, iter:4091] Loss: 1.249 | Acc: 55.369% 
[epoch:6, iter:4111] Loss: 1.249 | Acc: 55.488% 
[epoch:6, iter:4131] Loss: 1.254 | Acc: 55.225% 
[epoch:6, iter:4151] Loss: 1.255 | Acc: 55.187% 
[epoch:6, iter:4171] Loss: 1.253 | Acc: 55.292% 
[epoch:6, iter:4191] Loss: 1.252 | Acc: 55.338% 
[epoch:6, iter:4211] Loss: 1.250 | Acc: 55.388% 
[epoch:6, iter:4231] Loss: 1.250 | Acc: 55.379% 
[epoch:6, iter:4251] Loss: 1.247 | Acc: 55.563% 
[epoch:6, iter:4271] Loss: 1.251 | Acc: 55.467% 
[epoch:6, iter:4291] Loss: 1.248 | Acc: 55.557% 
[epoch:6, iter:4311] Loss: 1.246 | Acc: 55.669% 
[epoch:6, iter:4331] Loss: 1.244 | Acc: 55.749% 
[epoch:6, iter:4351] Loss: 1.244 | Acc: 55.807% 
[epoch:6, iter:4371] Loss: 1.244 | Acc: 55.823% 
[epoch:6, iter:4391] Loss: 1.243 | Acc: 55.883% 
[epoch:6, iter:4411] Loss: 1.242 | Acc: 55.879% 
[epoch:6, iter:4431] Loss: 1.244 | Acc: 55.890% 
[epoch:6, iter:4451] Loss: 1.241 | Acc: 55.987% 
[epoch:6, iter:4471] Loss: 1.239 | Acc: 56.027% 
[epoch:6, iter:4491] Loss: 1.237 | Acc: 56.126% 
[epoch:6, iter:4511] Loss: 1.235 | Acc: 56.219% 
[epoch:6, iter:4531] Loss: 1.235 | Acc: 56.169% 
[epoch:6, iter:4551] Loss: 1.234 | Acc: 56.228% 
[epoch:6, iter:4571] Loss: 1.234 | Acc: 56.262% 
[epoch:6, iter:4591] Loss: 1.232 | Acc: 56.353% 
[epoch:6, iter:4611] Loss: 1.232 | Acc: 56.355% 
[epoch:6, iter:4631] Loss: 1.231 | Acc: 56.423% 
[epoch:6, iter:4651] Loss: 1.230 | Acc: 56.446% 
[epoch:6, iter:4671] Loss: 1.228 | Acc: 56.566% 
[epoch:6, iter:4691] Loss: 1.226 | Acc: 56.644% 
[epoch:7, iter:4693] Loss: 1.119 | Acc: 64.062% 
[epoch:7, iter:4713] Loss: 1.179 | Acc: 58.557% 
[epoch:7, iter:4733] Loss: 1.228 | Acc: 57.050% 
[epoch:7, iter:4753] Loss: 1.216 | Acc: 57.121% 
[epoch:7, iter:4773] Loss: 1.205 | Acc: 57.485% 
[epoch:7, iter:4793] Loss: 1.197 | Acc: 57.580% 
[epoch:7, iter:4813] Loss: 1.198 | Acc: 57.670% 
[epoch:7, iter:4833] Loss: 1.204 | Acc: 57.691% 
[epoch:7, iter:4853] Loss: 1.202 | Acc: 57.725% 
[epoch:7, iter:4873] Loss: 1.204 | Acc: 57.666% 
[epoch:7, iter:4893] Loss: 1.204 | Acc: 57.649% 
[epoch:7, iter:4913] Loss: 1.204 | Acc: 57.586% 
[epoch:7, iter:4933] Loss: 1.200 | Acc: 57.754% 
[epoch:7, iter:4953] Loss: 1.197 | Acc: 57.777% 
[epoch:7, iter:4973] Loss: 1.196 | Acc: 57.896% 
